COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
Coforge,3.2,(6.1k),IT Services & Consulting,Noida,105 other locations,46k,"Job Security, Salary & Benefits",
IIFL Finance,4,(6k),NBFC,Mumbai,787 other locations,13.8k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Bajaj Life Insurance,3.9,(6k),Insurance,Pune,594 other locations,16.6k,"Job Security, Skill Development / Learning, Company Culture",
Oracle,3.5,(6k),Software Product,Bangalore / Bengaluru,56 other locations,60.2k,"Job Security, Company Culture, Skill Development / Learning",
Indian Army,4.7,(6k),Defence & Aerospace,New Delhi,358 other locations,9.5k,"Company Culture, Skill Development / Learning, Work Life Balance",
HCL Group,3.5,(6k),IT Services & Consulting,Chennai,96 other locations,41k,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
JLL,4.1,(5.9k),Real Estate,Gurgaon / Gurugram,83 other locations,23.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Omega Healthcare,3.7,(5.9k),BPO,Chennai,67 other locations,25.3k,"Job Security, Skill Development / Learning, Company Culture",
Muthoot Finance,3.6,(5.9k),NBFC,Bangalore / Bengaluru,757 other locations,12.7k,"Skill Development / Learning, Work Satisfaction, Company Culture",
Cholamandalam Investment & Finance,3.8,(5.8k),Financial Services,Chennai,803 other locations,12k,"Job Security, Company Culture, Work Life Balance",
eClerx,3.1,(5.8k),IT Services & Consulting,Pune,31 other locations,30.5k,"Skill Development / Learning, Job Security, Company Culture",
Virtusa Consulting Services,3.7,(5.7k),IT Services & Consulting,Hyderabad / Secunderabad,54 other locations,55.4k,"Promotions / Appraisal, Salary & Benefits",
Udaan,4,(5.7k),Internet,Bangalore / Bengaluru,367 other locations,16.6k,"Job Security, Skill Development / Learning",Promotions / Appraisal
HSBC Group,3.9,(5.6k),Financial Services,Bangalore / Bengaluru,63 other locations,41.3k,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Indiamart Intermesh,3.6,(5.6k),Internet,Noida,168 other locations,19.7k,"Promotions / Appraisal, Work Satisfaction, Job Security",
DMart,3.9,(5.6k),Retail,Mumbai,242 other locations,17.9k,"Promotions / Appraisal, Salary & Benefits",
Aurobindo Pharma,4,(5.5k),Pharma,Hyderabad / Secunderabad,114 other locations,20.7k,Skill Development / Learning,Promotions / Appraisal
Siemens,4,(5.4k),Industrial Automation,Bangalore / Bengaluru,150 other locations,32.6k,"Salary & Benefits, Work Life Balance, Job Security",
Shapoorji Pallonji Group,4.1,(5.4k),Engineering & Construction,Mumbai,187 other locations,15.1k,"Work Life Balance, Company Culture, Job Security",
SMFG India Credit,3.9,(5.4k),NBFC,Mumbai,577 other locations,11.2k,"Job Security, Company Culture, Work Life Balance",
Standard Chartered,3.6,(5.4k),Banking,Chennai,68 other locations,41.4k,"Job Security, Company Culture",Promotions / Appraisal
BigBasket,3.9,(5.4k),Internet,Bangalore / Bengaluru,136 other locations,18.5k,Job Security,"Promotions / Appraisal, Salary & Benefits"
CGI Group,4,(5.4k),IT Services & Consulting,Bangalore / Bengaluru,43 other locations,45.6k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Access Healthcare,3.7,(5.4k),Healthcare,Chennai,58 other locations,26.5k,"Job Security, Skill Development / Learning",Promotions / Appraisal
GlobalLogic,3.5,(5.4k),IT Services & Consulting,Hyderabad / Secunderabad,59 other locations,38.9k,Job Security,Promotions / Appraisal
ICICI Lombard General Insurance Company,3.6,(5.4k),Insurance,Mumbai,305 other locations,19.5k,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
Firstsource Solutions,3.5,(5.4k),BPO,Bangalore / Bengaluru,70 other locations,23.5k,"Job Security, Work Life Balance, Company Culture",
Manappuram Finance,3.9,(5.3k),NBFC,Bangalore / Bengaluru,623 other locations,9.1k,Promotions / Appraisal,
Apollo Hospitals,4,(5.3k),Healthcare,Chennai,226 other locations,16.2k,"Job Security, Company Culture, Work Life Balance",
Mahindra Finance,3.9,(5.3k),NBFC,Mumbai,714 other locations,11.9k,"Skill Development / Learning, Salary & Benefits, Company Culture",
Bosch Global Software Technologies,3.8,(5.3k),IT Services & Consulting,Bangalore / Bengaluru,47 other locations,38.7k,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
UST,3.7,(5.2k),IT Services & Consulting,Bangalore / Bengaluru,49 other locations,38.2k,"Skill Development / Learning, Promotions / Appraisal",
Ashok Leyland,4,(5.2k),Automobile,Chennai,244 other locations,18.4k,"Work Life Balance, Company Culture",Promotions / Appraisal
Citicorp,3.7,(5.2k),Financial Services,Pune,67 other locations,50k,"Company Culture, Work Life Balance, Job Security",
Cyient,3.6,(5.1k),IT Services & Consulting,Hyderabad / Secunderabad,44 other locations,27k,"Promotions / Appraisal, Work Satisfaction",
PolicyBazaar,3.7,(5.1k),Internet,Gurgaon / Gurugram,134 other locations,16.6k,"Company Culture, Work Life Balance, Salary & Benefits",
Hero MotoCorp,4.1,(5.1k),Automobile,Gurgaon / Gurugram,359 other locations,15.5k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Swiggy,3.7,(5k),Internet,Bangalore / Bengaluru,226 other locations,21.7k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
JustDial,3.5,(4.9k),Internet,Noida,220 other locations,15.4k,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
SBI Cards & Payment Services,3.6,(4.9k),Financial Services,Gurgaon / Gurugram,427 other locations,15.9k,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
Kalpataru Projects International,4.1,(4.9k),Engineering & Construction,Mumbai,306 other locations,13.3k,"Salary & Benefits, Job Security, Skill Development / Learning",
BNY,3.7,(4.9k),Financial Services,Pune,25 other locations,30.1k,"Company Culture, Work Life Balance, Skill Development / Learning",
IQVIA,3.7,(4.8k),Clinical Research,Bangalore / Bengaluru,62 other locations,29.9k,Skill Development / Learning,Promotions / Appraisal
CBRE,4.1,(4.8k),Real Estate,Hyderabad / Secunderabad,91 other locations,18.2k,"Salary & Benefits, Job Security, Skill Development / Learning",
TVS Motor,3.9,(4.8k),Automobile,Hosur,336 other locations,15.5k,"Company Culture, Work Life Balance, Job Security",
SBI Life Insurance Company,3.7,(4.8k),Insurance,Mumbai,637 other locations,11.5k,"Company Culture, Skill Development / Learning, Work Life Balance",
vivo,4.1,(4.7k),Consumer Electronics & Appliances,Noida,410 other locations,12.8k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
NTT Data,3.8,(4.7k),IT Services & Consulting,Bangalore / Bengaluru,77 other locations,34k,"Job Security, Salary & Benefits, Skill Development / Learning",
Persistent Systems,3.6,(4.7k),IT Services & Consulting,Pune,42 other locations,42.4k,"Company Culture, Job Security, Salary & Benefits",
Eviden,3.6,(4.7k),IT Services & Consulting,Pune,37 other locations,28.5k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Atos,3.8,(4.7k),IT Services & Consulting,Pune,49 other locations,33.6k,"Skill Development / Learning, Company Culture, Job Security",
Nagarjuna Construction Company,4.1,(4.7k),Engineering & Construction,Hyderabad / Secunderabad,281 other locations,11.6k,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
State Bank of India,3.8,(4.7k),Banking,Mumbai,599 other locations,11k,"Job Security, Skill Development / Learning",
Schneider Electric,4.1,(4.6k),Industrial Automation,Bangalore / Bengaluru,117 other locations,23.5k,Salary & Benefits,"Job Security, Promotions / Appraisal"
Ecom Express,4,(4.6k),Logistics,Gurgaon / Gurugram,756 other locations,9.3k,"Job Security, Work Life Balance, Company Culture",
Nagarro,3.9,(4.6k),IT Services & Consulting,Gurgaon / Gurugram,48 other locations,31.1k,"Skill Development / Learning, Work Life Balance, Company Culture",
Amdocs,3.7,(4.6k),Software Product,Pune,22 other locations,36.7k,Job Security,Promotions / Appraisal
Home Credit Finance,4,(4.5k),NBFC,Gurgaon / Gurugram,134 other locations,9.6k,"Work Life Balance, Company Culture, Skill Development / Learning",
JBM Group,3.9,(4.5k),Auto Components,Gurgaon / Gurugram,110 other locations,13.6k,"Job Security, Company Culture, Skill Development / Learning",
KEC International,4,(4.5k),Engineering & Construction,Mumbai,307 other locations,12.8k,Promotions / Appraisal,
Piramal Capital Housing Finance,4.2,(4.4k),NBFC,Mumbai,379 other locations,9.5k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Varun Beverages,4,(4.4k),Beverage,New Delhi,366 other locations,11.7k,"Skill Development / Learning, Company Culture, Work Life Balance",
Bosch,4.2,(4.4k),Auto Components,Bangalore / Bengaluru,122 other locations,20.3k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Hewlett Packard Enterprise,4.1,(4.4k),IT Services & Consulting,Bangalore / Bengaluru,103 other locations,26.5k,"Company Culture, Skill Development / Learning, Work Life Balance",
EY Global Delivery Services ( EY GDS),3.5,(4.3k),Accounting & Auditing,Bangalore / Bengaluru,54 other locations,45.3k,"Skill Development / Learning, Job Security, Company Culture",
OPPO,3.9,(4.3k),Consumer Electronics & Appliances,Greater Noida,398 other locations,11.8k,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Mahindra Logistics,3.7,(4.3k),Logistics,Mumbai,231 other locations,12.9k,"Skill Development / Learning, Work Satisfaction, Company Culture",
Dell,3.8,(4.3k),Consumer Electronics & Appliances,Bangalore / Bengaluru,116 other locations,28.4k,"Salary & Benefits, Skill Development / Learning",
ITC Infotech,3.7,(4.3k),IT Services & Consulting,Bangalore / Bengaluru,66 other locations,28.7k,"Salary & Benefits, Job Security, Work Life Balance",
Aditya Birla Fashion and Retail,4.1,(4.3k),Fashion & Textile,Bangalore / Bengaluru,282 other locations,12.7k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
L&T Finance,3.9,(4.3k),NBFC,Mumbai,607 other locations,11.5k,Job Security,
Randstad,3.7,(4.2k),Recruitment,Hyderabad / Secunderabad,339 other locations,15.7k,"Job Security, Skill Development / Learning, Salary & Benefits",
CARS24,3.5,(4.2k),Internet,Gurgaon / Gurugram,171 other locations,15.3k,"Job Security, Work Life Balance, Salary & Benefits",
R1 RCM,3.8,(4.2k),BPO,New Delhi,45 other locations,20.4k,"Company Culture, Work Life Balance, Work Satisfaction",
Intas Pharmaceuticals,4.1,(4.2k),Pharma,Ahmedabad,144 other locations,16.8k,"Job Security, Salary & Benefits",Promotions / Appraisal
Hyundai Motor India Limited,4.2,(4.2k),Automobile,Chennai,282 other locations,13.4k,"Company Culture, Skill Development / Learning, Work Life Balance",
Havells,3.9,(4.2k),Electrical Equipment,Noida,245 other locations,15.1k,Job Security,Promotions / Appraisal
Deutsche Bank,3.9,(4.2k),Banking,Pune,42 other locations,34.8k,Company Culture,Promotions / Appraisal
Utkarsh Small Finance Bank,3.7,(4.1k),Banking,Varanasi,388 other locations,10.9k,"Promotions / Appraisal, Job Security",
Tata AIA Life Insurance,3.9,(4.1k),Insurance,Mumbai,422 other locations,13.9k,"Job Security, Company Culture, Skill Development / Learning",
Hetero,3.8,(4.1k),Pharma,Hyderabad / Secunderabad,65 other locations,14.8k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Motilal Oswal Financial Services,3.7,(4.1k),Financial Services,Mumbai,164 other locations,12.5k,"Work Life Balance, Salary & Benefits, Company Culture",
Team Lease,3.9,(4k),Recruitment,Bangalore / Bengaluru,386 other locations,15.7k,"Job Security, Work Life Balance, Company Culture",
Bajaj Auto,3.8,(4k),Automobile,Pune,308 other locations,14.2k,Job Security,Promotions / Appraisal
Lenskart,3.2,(3.9k),Internet,New Delhi,232 other locations,12.7k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Thermax Limited,4.2,(3.9k),Industrial Machinery,Pune,240 other locations,12.8k,Promotions / Appraisal,
Berger Paints,3.7,(3.9k),Chemicals,Kolkata,335 other locations,9.5k,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Macleods Pharmaceuticals,3.6,(3.9k),Pharma,Mumbai,128 other locations,15.6k,"Company Culture, Skill Development / Learning, Work Life Balance",
LG Electronics,3.9,(3.9k),Consumer Electronics & Appliances,Pune,290 other locations,10.8k,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Aakash Educational Services,3.2,(3.9k),Education & Training,New Delhi,240 other locations,13.2k,"Job Security, Promotions / Appraisal, Work Life Balance",
Tata Communications,3.9,(3.9k),Telecom,Pune,98 other locations,23k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Royal Enfield,4.2,(3.9k),Automobile,Chennai,364 other locations,14.3k,"Company Culture, Work Life Balance, Salary & Benefits",
John Deere,4,(3.8k),Industrial Machinery,Pune,149 other locations,15k,"Company Culture, Work Life Balance, Skill Development / Learning",
VE Commercial Vehicles,3.9,(3.8k),Automobile,Indore,151 other locations,13.1k,"Job Security, Company Culture, Skill Development / Learning",
Jubilant Foods Works,3.7,(3.8k),Hospitality,New Delhi,251 other locations,8.8k,"Job Security, Company Culture, Work Life Balance",
HDFC Ergo General Insurance,3.9,(3.8k),Insurance,Mumbai,317 other locations,12k,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Oyo Rooms,3.1,(3.8k),Internet,Gurgaon / Gurugram,119 other locations,15.1k,"Company Culture, Work Life Balance, Skill Development / Learning",
Jindal Steel Limited,3.9,(3.8k),Iron & Steel,Angul,170 other locations,14.9k,"Salary & Benefits, Work Life Balance",
DCB Bank,3.8,(3.8k),Banking,Mumbai,335 other locations,9.6k,Job Security,Promotions / Appraisal
Hindalco Industries,4.2,(3.7k),Metals & Mining,Sambalpur,122 other locations,11.7k,"Company Culture, Work Life Balance, Job Security",
Reliance Communications,4,(3.7k),Telecom,Mumbai,464 other locations,9.7k,"Job Security, Company Culture",
Cummins,4.3,(3.7k),Industrial Machinery,Pune,111 other locations,15.3k,"Job Security, Company Culture, Work Life Balance",
State Street Corporation,3.6,(3.7k),Financial Services,Bangalore / Bengaluru,33 other locations,30.1k,"Job Security, Company Culture, Work Life Balance",
RBL Bank,3.5,(3.7k),Banking,Mumbai,273 other locations,18.1k,"Job Security, Work Life Balance, Company Culture",
Carelon Global Solutions,3.8,(3.7k),Software Product,Bangalore / Bengaluru,18 other locations,26.1k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
XpressBees,4.2,(3.7k),Internet,Pune,468 other locations,7.9k,"Job Security, Salary & Benefits, Skill Development / Learning",
Bank of America,4.2,(3.7k),Banking,Gurgaon / Gurugram,34 other locations,27.4k,"Job Security, Skill Development / Learning, Company Culture",
PVR Inox,3.9,(3.6k),Media & Entertainment,New Delhi,150 other locations,9.3k,,
Alembic Pharmaceuticals,3.9,(3.6k),Pharma,Vadodara,183 other locations,14.9k,"Promotions / Appraisal, Job Security, Work Satisfaction",
Publicis Sapient,3.4,(3.6k),IT Services & Consulting,Bangalore / Bengaluru,44 other locations,29.9k,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
American Express,4.1,(3.6k),Financial Services,Gurgaon / Gurugram,51 other locations,23.5k,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
Viatris,4.1,(3.6k),Pharma,Hyderabad / Secunderabad,80 other locations,14.1k,"Job Security, Work Life Balance, Company Culture",
Subros,3.8,(3.6k),Auto Components,Noida,86 other locations,12.3k,"Skill Development / Learning, Job Security, Salary & Benefits",
